cityId,searchRadius,hCountLevel0,hCountLevel1,hCountLevel2,hCountLevel3,hCountLevel7,cCountLevel0,cCountLevel1,cCountLevel2,cCountLevel3,cCountLevel7,rCountLevel0,rCountLevel1,rCountLevel2,rCountLevel3,rCountLevel7,aCountLevel0,aCountLevel1,aCountLevel2,aCountLevel3,aCountLevel7,iCountLevel0,iCountLevel1,iCountLevel2,iCountLevel3,iCountLevel7,nCountLevel0,nCountLevel1,nCountLevel2,nCountLevel3,nCountLevel7
143473,50000,133,262,11,13,20,144,232,44,48,23,48,321,14,41,69,43,63,18,74,288,4,7,1,0,67,78,78,71,112,6
143472,50000,222,225,24,1,22,155,262,18,22,29,80,286,9,48,67,72,74,4,10,196,2,8,1,0,22,67,67,64,34,3
143477,50000,169,236,15,25,40,155,168,22,17,19,173,185,7,14,118,3,8,2,5,479,0,3,2,2,21,42,42,50,28,6
143469,50000,203,243,13,15,23,150,283,17,32,7,196,240,13,25,26,65,116,32,39,45,0,6,0,0,6,74,74,57,35,9
143468,50000,170,171,18,21,58,170,212,37,27,34,82,235,14,37,127,77,48,7,5,324,16,9,3,1,64,59,59,58,22,6
143467,50000,154,143,20,8,170,138,234,28,35,30,38,169,15,8,263,1,4,0,1,463,0,3,0,4,50,52,52,86,29,35
143466,50000,118,299,14,11,50,137,248,24,45,16,112,214,24,47,97,35,53,5,6,83,3,14,0,0,11,19,19,46,40,2
143478,50000,115,238,58,32,21,247,208,20,16,8,86,330,23,27,30,55,124,65,56,119,0,2,0,0,3,6,6,14,8,0
143460,50000,287,136,2,0,71,234,190,19,13,38,247,84,2,1,163,1,1,0,1,497,0,1,0,0,9,62,62,45,27,15
19546,30000,16,437,12,26,4,131,243,34,65,12,35,406,9,28,20,33,88,60,42,164,2,3,0,2,14,17,17,96,28,1
143461,50000,229,170,10,2,80,195,196,30,23,52,76,145,3,2,270,4,6,1,2,480,0,2,0,0,16,49,49,38,16,3
143475,50000,258,110,65,34,21,125,135,19,16,2,199,255,12,15,16,33,66,61,39,24,0,1,1,0,0,9,9,38,18,0
143464,50000,212,156,10,9,95,169,181,14,8,25,84,111,6,3,290,2,8,0,0,486,4,2,0,0,20,147,147,102,38,40
143463,50000,162,138,14,7,158,220,176,14,13,65,72,205,6,2,214,4,22,5,5,453,1,8,0,0,34,41,41,43,24,157
143462,50000,257,161,2,3,75,143,121,1,4,12,109,160,1,3,226,3,2,0,3,491,3,1,0,0,11,69,69,67,18,44
23473,20000,28,107,359,0,5,85,199,69,56,63,28,219,13,22,98,89,19,11,7,367,0,1,0,0,31,17,17,10,22,1
18646,20000,52,313,77,20,29,122,161,19,23,47,52,186,9,42,77,160,36,15,12,262,0,4,0,1,13,35,35,19,15,2
18346,20000,66,335,35,20,42,78,137,33,44,40,52,195,14,22,89,4,4,8,6,473,0,3,1,2,83,12,12,56,39,3
