id,date,prcp,tmax
USC00457773,2014-01-23,0,NA
USC00457773,2014-01-24,0,NA
USC00457773,2014-01-25,0,NA
USC00457773,2014-01-26,0,NA
USC00457773,2014-01-27,0,NA
USC00457773,2014-01-28,0,NA
USC00457773,2014-01-29,264,NA
USC00457773,2014-01-30,244,NA
USC00457773,2014-01-31,43,NA
USC00457773,2014-02-01,33,NA
USC00457773,2014-02-02,23,NA
USC00457773,2014-02-03,0,NA
USC00457773,2014-02-04,0,NA
USC00457773,2014-02-05,0,NA
USC00457773,2014-02-06,0,NA
USC00457773,2014-02-07,0,NA
USC00457773,2014-02-08,0,NA
USC00457773,2014-02-09,0,NA
USC00457773,2014-02-10,140,NA
USC00457773,2014-02-11,NA,NA
USC00457773,2014-02-12,NA,NA
USC00457773,2014-02-13,114,NA
USC00457773,2014-02-14,69,NA
USC00457773,2014-02-15,38,NA
USC00457773,2014-02-16,264,NA
USC00457773,2014-02-17,470,NA
USC00457773,2014-02-18,56,NA
USC00457773,2014-02-19,269,NA
USC00457773,2014-02-20,76,NA
USC00457773,2014-02-21,89,NA
USC00457773,2014-02-22,NA,NA
USC00457773,2014-02-23,NA,NA
USC00457773,2014-02-24,NA,NA
USC00457773,2014-02-25,NA,NA
USC00457773,2014-02-26,0,NA
USC00457773,2014-02-27,0,NA
USC00457773,2014-02-28,0,NA
USC00457773,2014-03-01,0,NA
USC00457773,2014-03-02,NA,NA
USC00457773,2014-03-03,NA,NA
USC00457773,2014-03-04,140,NA
USC00457773,2014-03-05,389,NA
USC00457773,2014-03-06,373,NA
USC00457773,2014-03-07,38,NA
USC00457773,2014-03-08,0,NA
USC00457773,2014-03-09,457,NA
USC00457773,2014-03-10,69,NA
USC00457773,2014-03-11,114,NA
USC00457773,2014-03-12,5,NA
USC00457773,2014-03-13,0,NA
USC00457773,2014-03-14,102,NA
USC00457773,2014-03-15,25,NA
USC00457773,2014-03-16,241,NA
USC00457773,2014-03-17,305,NA
USC00457773,2014-03-18,8,NA
