cityId,stationId,countryCode,type,cityName,regionName,regionCode,lat,lon,population,elevation,timezone,culture_hIndex,culture_cIndex,culture_rIndex,culture_aIndex,culture_iIndex,culture_nIndex,formations_mIndex,beach_Index,image_links
1244,ARM00087593,AR,CITY,La Plata,Buenos Aires Province,B,-34.92145,-57.95453000000001,694167,26.0,America__Argentina__Buenos_Aires,2,153,183,84,0,6,0,0,https://travelapiimages.s3.eu-central-1.amazonaws.com/1244.jpg
132330,ARM00087593,AR,CITY,Partido de Berazategui,Buenos Aires Province,B,-34.83333,-58.16667,320224,,America__Argentina__Buenos_Aires,2,76,234,10,0,10,0,0,https://travelapiimages.s3.eu-central-1.amazonaws.com/132330.jpg
132263,ARM00087593,AR,CITY,Partido de La Plata,Buenos Aires Province,B,-35.0,-58.0,774369,,America__Argentina__Buenos_Aires,2,153,177,84,0,6,0,0,https://travelapiimages.s3.eu-central-1.amazonaws.com/132263.jpg
1680,AR000087860,AR,CITY,Comodoro Rivadavia,Chubut Province,U,-45.86413,-67.49656,217593,61.0,America__Argentina__Rio_Gallegos,2,30,30,12,6,22,30,4,https://travelapiimages.s3.eu-central-1.amazonaws.com/1680.jpg
1932,ARM00087166,AR,CITY,Corrientes,Corrientes,W,-27.46784,-58.8344,352646,62.0,America__Argentina__Cordoba,2,272,580,52,6,44,4,12,https://travelapiimages.s3.eu-central-1.amazonaws.com/1932.jpg
132626,ARM00087311,AR,CITY,Departamento de Capital,San Juan Province,J,-31.53333,-68.53333,116511,,America__Argentina__San_Juan,2,71,238,22,0,3,9,0,https://travelapiimages.s3.eu-central-1.amazonaws.com/132626.jpg
1866,ARM00087311,AR,CITY,San Juan,San Juan Province,J,-31.5375,-68.53639,471389,640.0,America__Argentina__San_Juan,2,71,238,22,0,3,9,0,https://travelapiimages.s3.eu-central-1.amazonaws.com/1866.jpg
132534,AR000087418,AR,CITY,Departamento de Guaymallén,Mendoza,M,-32.88333,-68.7,283803,,America__Argentina__Mendoza,2,169,196,44,6,0,0,0,https://travelapiimages.s3.eu-central-1.amazonaws.com/132534.jpg
132482,ARM00087416,AR,CITY,Departamento de Maipú,Mendoza,M,-33.0,-68.58333,153600,,America__Argentina__Mendoza,2,10,24,8,0,0,0,0,https://travelapiimages.s3.eu-central-1.amazonaws.com/132482.jpg
132389,ARM00087416,AR,CITY,Departamento de San Martín,Mendoza,M,-32.8373,-68.24922,108448,,America__Argentina__Mendoza,2,0,2,0,0,0,0,0,https://travelapiimages.s3.eu-central-1.amazonaws.com/132389.jpg
1767,ARM00087576,AR,CITY,Florencio Varela,Buenos Aires Province,B,-34.827220000000004,-58.39556,146704,25.0,America__Argentina__Buenos_Aires,2,104,540,58,0,2,0,0,https://travelapiimages.s3.eu-central-1.amazonaws.com/1767.jpg
1119,ARM00087576,AR,CITY,José María Ezeiza,Buenos Aires Province,B,-34.84787,-58.52869000000001,160219,12.0,America__Argentina__Buenos_Aires,2,78,299,56,0,2,0,0,https://travelapiimages.s3.eu-central-1.amazonaws.com/1119.jpg
1718,ARM00087576,AR,CITY,Lomas de Zamora,Buenos Aires Province,B,-34.76088,-58.40632,111897,20.0,America__Argentina__Buenos_Aires,2,833,890,372,0,18,0,0,https://travelapiimages.s3.eu-central-1.amazonaws.com/1718.jpg
132315,ARM00087576,AR,CITY,Partido de Almirante Brown,Buenos Aires Province,B,-34.83333,-58.33333,555731,,America__Argentina__Buenos_Aires,2,669,865,300,0,30,0,0,https://travelapiimages.s3.eu-central-1.amazonaws.com/132315.jpg
132283,ARM00087576,AR,CITY,Partido de Esteban Echeverría,Buenos Aires Province,B,-34.81917,-58.46583,298814,,America__Argentina__Buenos_Aires,2,86,471,60,0,2,0,0,https://travelapiimages.s3.eu-central-1.amazonaws.com/132283.jpg
132679,ARM00087576,AR,CITY,Partido de Ezeiza,Buenos Aires Province,B,-34.85417,-58.52472,118807,,America__Argentina__Buenos_Aires,2,78,283,56,0,2,0,0,https://travelapiimages.s3.eu-central-1.amazonaws.com/132679.jpg
132290,ARM00087576,AR,CITY,Partido de Florencio Varela,Buenos Aires Province,B,-34.83333,-58.25,423992,,America__Argentina__Buenos_Aires,2,103,442,44,0,10,0,0,https://travelapiimages.s3.eu-central-1.amazonaws.com/132290.jpg
132245,ARM00087576,AR,CITY,Partido de La Matanza,Buenos Aires Province,B,-34.75,-58.58333,1775816,,America__Argentina__Buenos_Aires,2,1005,832,1305,6,112,0,0,https://travelapiimages.s3.eu-central-1.amazonaws.com/132245.jpg
132236,ARM00087576,AR,CITY,Partido de Lomas de Zamora,Buenos Aires Province,B,-34.75,-58.41667,613192,,America__Argentina__Buenos_Aires,2,1049,895,1203,6,52,0,0,https://travelapiimages.s3.eu-central-1.amazonaws.com/132236.jpg
1908,ARM00087162,AR,CITY,Formosa,Formosa Province,P,-26.18489,-58.17313000000001,222226,57.0,America__Argentina__Cordoba,2,18,22,0,6,8,0,0,https://travelapiimages.s3.eu-central-1.amazonaws.com/1908.jpg
1022,ARM00087497,AR,CITY,Gualeguaychú,Entre Ríos Province,E,-33.009370000000004,-58.51722,109461,15.0,America__Argentina__Cordoba,2,26,34,0,0,14,0,10,https://travelapiimages.s3.eu-central-1.amazonaws.com/1022.jpg
1964,AR000087129,AR,CITY,La Banda,Santiago del Estero Province,G,-27.73348,-64.24278000000001,106441,193.0,America__Argentina__Cordoba,2,10,68,0,0,4,0,0,https://travelapiimages.s3.eu-central-1.amazonaws.com/1964.jpg
1500,AR000087129,AR,CITY,Santiago del Estero,Santiago del Estero Province,G,-27.79511,-64.26149000000001,354692,182.0,America__Argentina__Cordoba,2,10,68,0,0,0,0,0,https://travelapiimages.s3.eu-central-1.amazonaws.com/1500.jpg
1451,AR000087217,AR,CITY,La Rioja,La Rioja Province,F,-29.41105,-66.85067,180995,498.0,America__Argentina__La_Rioja,2,26,27,0,0,0,4,0,https://travelapiimages.s3.eu-central-1.amazonaws.com/1451.jpg
1466,AR000087692,AR,CITY,Mar del Plata,Buenos Aires Province,B,-38.00042,-57.5562,860000,38.0,America__Argentina__Buenos_Aires,2,86,64,23,0,117,0,42,https://travelapiimages.s3.eu-central-1.amazonaws.com/1466.jpg
132275,AR000087692,AR,CITY,Partido de General Pueyrredón,Buenos Aires Province,B,-38.0,-57.75,564056,,America__Argentina__Buenos_Aires,2,84,62,29,0,115,0,0,https://travelapiimages.s3.eu-central-1.amazonaws.com/132275.jpg
1963,AR000087715,AR,CITY,Neuquén,Neuquén Province,Q,-38.95161,-68.0591,242092,250.0,America__Argentina__Salta,2,100,77,6,6,6,4,2,https://travelapiimages.s3.eu-central-1.amazonaws.com/1963.jpg
1400,AR000087374,AR,CITY,Paraná,Entre Ríos Province,E,-31.73271,-60.52897,262295,66.0,America__Argentina__Cordoba,2,24,47,18,0,2,0,4,https://travelapiimages.s3.eu-central-1.amazonaws.com/1400.jpg
1887,AR000087374,AR,CITY,Santa Fe,Santa Fe Province,S,-31.64881,-60.70868000000001,489505,25.0,America__Argentina__Cordoba,2,76,90,18,0,12,0,10,https://travelapiimages.s3.eu-central-1.amazonaws.com/1887.jpg
132195,ARM00087645,AR,CITY,Partido de Tandil,Buenos Aires Province,B,-37.33333,-59.25,108109,,America__Argentina__Buenos_Aires,2,54,38,6,0,4,24,0,https://travelapiimages.s3.eu-central-1.amazonaws.com/132195.jpg
1398,ARM00087645,AR,CITY,Tandil,Buenos Aires Province,B,-37.32167000000001,-59.13316,116917,188.0,America__Argentina__Buenos_Aires,2,54,36,6,0,7,27,0,https://travelapiimages.s3.eu-central-1.amazonaws.com/1398.jpg
1444,PA000086297,AR,CITY,Posadas,Misiones Province,N,-27.36708,-55.89608000000001,323739,83.0,America__Argentina__Cordoba,2,134,311,20,4,17,0,5,https://travelapiimages.s3.eu-central-1.amazonaws.com/1444.jpg
1236,AR000087155,AR,CITY,Resistencia,Chaco Province,H,-27.46056,-58.98389,387158,20.0,America__Argentina__Cordoba,2,277,684,52,6,26,4,0,https://travelapiimages.s3.eu-central-1.amazonaws.com/1236.jpg
1494,ARM00087480,AR,CITY,Rosario,Santa Fe Province,S,-32.94682,-60.63932,1193605,31.0,America__Argentina__Cordoba,2,322,176,96,4,58,0,45,https://travelapiimages.s3.eu-central-1.amazonaws.com/1494.jpg
1308,ARM00087453,AR,CITY,Río Cuarto,Córdoba Province,X,-33.13067,-64.34992,157010,425.0,America__Argentina__Cordoba,2,48,28,12,0,0,0,0,https://travelapiimages.s3.eu-central-1.amazonaws.com/1308.jpg
1910,AR000870470,AR,CITY,Salta,Salta Province,A,-24.7859,-65.41166,535303,1152.0,America__Argentina__Salta,2,120,146,22,0,4,24,0,https://travelapiimages.s3.eu-central-1.amazonaws.com/1910.jpg
2200,ARM00087765,AR,CITY,San Carlos de Bariloche,Río Negro Province,R,-41.14557,-71.30821999999998,112887,1093.0,America__Argentina__Salta,2,33,26,5,0,39,41,5,https://travelapiimages.s3.eu-central-1.amazonaws.com/2200.jpg
1793,ARM00087222,AR,CITY,San Fernando del Valle de Catamarca,Catamarca Province,K,-28.46957,-65.78524,188812,500.0,America__Argentina__Catamarca,2,33,110,22,2,13,5,3,https://travelapiimages.s3.eu-central-1.amazonaws.com/1793.jpg
1159,ARM00087436,AR,CITY,San Luis,San Luis Province,D,-33.29501,-66.33563000000001,183982,709.0,America__Argentina__San_Luis,2,14,42,0,0,6,2,0,https://travelapiimages.s3.eu-central-1.amazonaws.com/1159.jpg
1108,ARM00087121,AR,CITY,San Miguel de Tucumán,Tucumán Province,T,-26.824140000000003,-65.2226,781023,431.0,America__Argentina__Tucuman,2,93,114,12,6,7,20,0,https://travelapiimages.s3.eu-central-1.amazonaws.com/1108.jpg
1787,ARM00087509,AR,CITY,San Rafael,Mendoza,M,-34.61772,-68.33006999999999,109163,650.0,America__Argentina__Mendoza,2,14,22,0,0,0,0,0,https://travelapiimages.s3.eu-central-1.amazonaws.com/1787.jpg
1409,ARM00087046,AR,CITY,San Salvador de Jujuy,Jujuy Province,Y,-24.19457,-65.29711999999999,321789,1201.0,America__Argentina__Jujuy,2,102,208,28,0,0,18,0,https://travelapiimages.s3.eu-central-1.amazonaws.com/1409.jpg
1066,AR000087623,AR,CITY,Santa Rosa,La Pampa,L,-36.61667,-64.28333,111424,179.0,America__Argentina__Salta,2,16,28,0,0,0,0,0,https://travelapiimages.s3.eu-central-1.amazonaws.com/1066.jpg
1052,AR000087828,AR,CITY,Trelew,Chubut Province,U,-43.24895,-65.30505,108360,11.0,America__Argentina__Catamarca,2,17,26,0,6,0,0,0,https://travelapiimages.s3.eu-central-1.amazonaws.com/1052.jpg
2502,ARM00087448,AR,CITY,Villa Mercedes,San Luis Province,D,-33.675709999999995,-65.45783,111391,512.0,America__Argentina__San_Luis,2,14,18,3,0,0,0,2,https://travelapiimages.s3.eu-central-1.amazonaws.com/2502.jpg
4140,AU000005901,AT,CITY,Donaustadt,Vienna,9,48.2333,16.46002,162592,,Europe__Vienna,2,1437,2037,2395,292,182,138,9,https://travelapiimages.s3.eu-central-1.amazonaws.com/4140.jpg
4770,AU000005901,AT,CITY,Favoriten,Vienna,9,48.16116,16.38233,179179,,Europe__Vienna,2,1372,1992,2579,370,376,305,0,https://travelapiimages.s3.eu-central-1.amazonaws.com/4770.jpg
3100,AU000005901,AT,CITY,Floridsdorf,Vienna,9,48.25,16.4,162779,,Europe__Vienna,2,1452,2050,2635,312,249,223,7,https://travelapiimages.s3.eu-central-1.amazonaws.com/3100.jpg
2534,AU000005901,AT,CITY,Vienna,Vienna,9,48.20849000000001,16.37208,1840573,171.0,Europe__Vienna,2,1600,2052,2919,522,597,1003,16,https://travelapiimages.s3.eu-central-1.amazonaws.com/2534.jpg
3750,AU000016402,AT,CITY,Graz,Styria,6,47.06667,15.45,222326,363.0,Europe__Vienna,2,847,1355,2664,72,138,161,0,https://travelapiimages.s3.eu-central-1.amazonaws.com/3750.jpg
132781,AU000016402,AT,CITY,Graz Stadt,Styria,6,47.06667,15.433329999999998,289440,,Europe__Vienna,2,876,1389,2682,72,140,163,1,https://travelapiimages.s3.eu-central-1.amazonaws.com/132781.jpg
3158,AU000011801,AT,CITY,Innsbruck,Tyrol,7,47.26266,11.39454,132493,570.0,Europe__Vienna,2,613,1767,2825,98,313,414,0,https://travelapiimages.s3.eu-central-1.amazonaws.com/3158.jpg
132768,AUM00011231,AT,CITY,Klagenfurt am Wörthersee,Carinthia,2,46.63333,14.3,100316,,Europe__Vienna,2,243,909,1442,24,61,80,0,https://travelapiimages.s3.eu-central-1.amazonaws.com/132768.jpg
3676,AU000005010,AT,CITY,Linz,Upper Austria,4,48.30639,14.28611,204846,266.0,Europe__Vienna,2,633,974,2768,6,113,69,5,https://travelapiimages.s3.eu-central-1.amazonaws.com/3676.jpg
1996,AU000006306,AT,CITY,Salzburg,Salzburg,5,47.79941,13.04399,154076,424.0,Europe__Vienna,2,822,1332,2827,67,310,228,0,https://travelapiimages.s3.eu-central-1.amazonaws.com/1996.jpg
132737,AU000006306,AT,CITY,Salzburg Stadt,Salzburg,5,47.80067,13.04532,154076,,Europe__Vienna,2,808,1296,2827,67,305,228,0,https://travelapiimages.s3.eu-central-1.amazonaws.com/132737.jpg
4299,ASN00023000,AU,CITY,Adelaide,South Australia,SA,-34.92866,138.59863,1295714,1.0,Australia__Adelaide,2,608,555,329,51,348,89,22,https://travelapiimages.s3.eu-central-1.amazonaws.com/4299.jpg
5657,ASN00081123,AU,CITY,Bendigo,Victoria,VIC,-36.75818,144.28024,100617,221.0,Australia__Melbourne,2,64,89,89,15,6,8,0,https://travelapiimages.s3.eu-central-1.amazonaws.com/5657.jpg
5499,ASN00040913,AU,CITY,Brisbane,Queensland,QLD,-27.46794,153.02809,2360241,0.0,Australia__Brisbane,2,701,972,2656,98,292,159,4,https://travelapiimages.s3.eu-central-1.amazonaws.com/5499.jpg
133157,ASN00031011,AU,CITY,Cairns,Queensland,QLD,-16.90268,145.75287,153075,,Australia__Brisbane,2,60,18,14,0,58,42,1,https://travelapiimages.s3.eu-central-1.amazonaws.com/133157.jpg
5042,ASN00070015,AU,CITY,Canberra,Australian Capital Territory,ACT,-35.28346,149.12807,381488,578.0,Australia__Sydney,2,533,295,537,17,107,128,0,https://travelapiimages.s3.eu-central-1.amazonaws.com/5042.jpg
4282,ASN00014040,AU,CITY,Darwin,Northern Territory,NT,-12.46113,130.84185,136828,0.0,Australia__Darwin,2,90,40,96,0,29,8,10,https://travelapiimages.s3.eu-central-1.amazonaws.com/4282.jpg
5493,ASN00040764,AU,CITY,Gold Coast,Queensland,QLD,-28.000290000000003,153.43088,638090,12.0,Australia__Brisbane,2,150,140,128,4,344,34,18,https://travelapiimages.s3.eu-central-1.amazonaws.com/5493.jpg
5345,ASN00094029,AU,CITY,Hobart,Tasmania,TAS,-42.87936,147.32941,222356,1270.0,Australia__Hobart,2,114,98,103,0,39,71,4,https://travelapiimages.s3.eu-central-1.amazonaws.com/5345.jpg
133205,ASN00040004,AU,CITY,Ipswich,Queensland,QLD,-27.6779,152.66188,163000,,Australia__Brisbane,2,20,66,156,4,8,16,0,https://travelapiimages.s3.eu-central-1.amazonaws.com/133205.jpg
4034,ASN00091237,AU,CITY,Launceston,Tasmania,TAS,-41.43876,147.13467,106153,0.0,Australia__Hobart,2,87,70,74,4,4,18,0,https://travelapiimages.s3.eu-central-1.amazonaws.com/4034.jpg
5000,ASN00040854,AU,CITY,Logan City,Queensland,QLD,-27.63917,153.10943999999995,282673,,Australia__Brisbane,2,92,269,182,18,55,39,0,https://travelapiimages.s3.eu-central-1.amazonaws.com/5000.jpg
4383,ASN00061055,AU,CITY,Newcastle,New South Wales,NSW,-32.92953,151.7801,308308,9.0,Australia__Sydney,2,120,141,164,18,46,6,24,https://travelapiimages.s3.eu-central-1.amazonaws.com/4383.jpg
