regionCode,regionName,countryCode,culture_hIndexMean,culture_hIndexMin,culture_hIndexMax,culture_cIndexMean,culture_cIndexMin,culture_cIndexMax,culture_rIndexMean,culture_rIndexMin,culture_rIndexMax,culture_aIndexMean,culture_aIndexMin,culture_aIndexMax,culture_iIndexMean,culture_iIndexMin,culture_iIndexMax,culture_nIndexMean,culture_nIndexMin,culture_nIndexMax,formations_mIndexMean,formations_mIndexMin,formations_mIndexMax,formations_rIndexMean,formations_rIndexMin,formations_rIndexMax,beach_IndexMean,beach_IndexMin,beach_IndexMax
PE_LAL,La Libertad,PE,103.0,103,103,58.0,58,58,309.0,309,309,35.0,35,35,0.0,0,0,32.0,32,32,2.0,2,2,0.0,0,0,0.0,0,0
PE_LAM,Lambayeque,PE,87.0,87,87,47.0,47,47,64.0,64,64,3.0,3,3,0.0,0,0,2.0,2,2,0.0,0,0,0.0,0,0,0.0,0,0
PE_LMA,Lima Province,PE,56.0,56,56,691.0,691,691,841.0,841,841,227.0,227,227,6.0,6,6,104.0,104,104,55.0,55,55,0.0,0,0,52.0,52,52
PE_LOR,Loreto,PE,15.0,15,15,19.0,19,19,27.0,27,27,12.0,12,12,0.0,0,0,22.0,22,22,0.0,0,0,0.0,0,0,4.0,4,4
PE_PIU,Piura,PE,36.0,27,46,32.0,20,44,50.0,10,90,0.0,0,0,0.0,0,0,6.0,0,12,2.0,0,4,0.0,0,0,3.0,0,6
PE_PUN,Puno,PE,22.0,21,22,20.0,14,25,23.0,18,28,1.0,0,2,0.0,0,0,7.0,6,8,5.0,2,8,0.0,0,0,0.0,0,0
PE_SAM,San Martín,PE,17.0,17,17,16.0,16,16,20.0,20,20,0.0,0,0,0.0,0,0,11.0,11,11,0.0,0,0,0.0,0,0,0.0,0,0
PE_TAC,Tacna,PE,40.0,40,40,46.0,46,46,34.0,34,34,12.0,12,12,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
PE_TUM,Tumbes,PE,27.0,27,27,5.0,5,5,12.0,12,12,0.0,0,0,0.0,0,0,6.0,6,6,0.0,0,0,0.0,0,0,0.0,0,0
PE_UCA,Ucayali,PE,16.0,16,16,26.0,26,26,29.0,29,29,2.0,2,2,0.0,0,0,9.0,9,9,0.0,0,0,0.0,0,0,2.0,2,2
