cityId,searchRadius,culture_hIndex,culture_cIndex,culture_rIndex,culture_aIndex,culture_iIndex,culture_nIndex
9011,20000,8,15,43,0,0,10
9784,50000,84,349,796,40,0,54
9909,20000,2,12,50,0,0,14
8228,20000,46,18,108,11,0,25
8996,20000,12,28,102,2,0,115
136165,20000,38,8,46,8,0,23
9438,20000,216,542,434,6,0,41
9472,20000,44,16,24,6,4,23
135709,20000,335,330,775,113,24,53
9513,20000,8,26,42,0,0,22
138424,20000,8,7,68,0,0,56
134510,20000,18,6,24,0,0,0
8321,20000,26,47,105,0,0,24
9717,50000,165,299,773,104,26,248
9783,30000,35,224,179,2,0,15
9610,20000,18,19,46,0,0,0
9088,20000,4,8,22,0,0,2
9083,20000,221,586,443,72,0,30
9775,20000,2,8,16,0,0,80
137536,20000,532,630,759,810,12,28
136573,20000,86,113,833,56,4,105
135412,20000,24,35,30,6,0,6
9710,20000,14,32,38,0,0,0
134267,20000,4,2,14,0,0,0
9916,20000,10,12,14,0,0,9
8765,20000,101,262,703,36,0,42
8660,20000,4,5,12,0,0,0
9113,20000,82,66,328,0,0,10
9461,20000,26,19,116,2,0,9
8840,20000,8,2,18,0,0,0
9126,20000,50,4,12,0,0,0
137839,20000,122,287,353,38,6,17
9153,20000,34,30,100,4,0,0
9597,30000,156,396,731,55,6,31
9825,20000,10,25,121,0,0,8
9748,20000,8,11,10,2,0,2
9241,20000,99,108,511,676,0,16
134265,20000,12,22,38,4,0,2
8983,20000,52,20,180,6,0,6
9865,20000,240,299,244,88,22,131
138574,30000,6,32,52,0,0,14
9706,50000,256,484,804,90,8,114
9418,20000,1335,1195,957,598,24,42
9680,20000,8,12,66,0,0,4
9312,20000,10,17,50,0,0,4
9709,30000,432,1079,867,326,14,892
9124,20000,356,429,666,118,0,17
1192625,20000,359,429,652,115,0,17
9313,20000,0,0,4,0,0,0
9749,30000,12,57,76,12,0,0
137637,20000,132,112,669,24,0,18
9096,20000,191,201,356,66,0,176
9864,20000,12,4,53,0,0,7
8878,50000,137,309,828,48,0,68
9496,20000,15,61,216,0,0,27
9111,20000,24,50,50,0,0,0
138065,20000,20,26,150,6,6,16
138080,20000,32,35,184,12,18,29
7993,20000,16,4,2,0,0,0
9290,50000,38,124,254,4,0,19
9413,20000,8,4,32,2,0,6
9614,20000,33,33,244,0,0,21
9033,20000,16,8,64,4,0,76
9521,20000,26,9,38,0,0,4
9467,20000,21,34,109,0,0,5
9267,20000,193,256,168,54,12,161
9334,50000,1366,1254,892,1430,58,125
9868,20000,202,516,322,87,0,50
9852,20000,46,127,331,54,10,29
9381,20000,92,247,509,47,0,22
8494,20000,80,20,173,10,0,46
9207,20000,8,24,53,10,0,19
8819,20000,20,5,110,0,0,45
9016,20000,32,63,132,14,4,13
9618,20000,10,19,117,0,0,2
9249,20000,16,6,26,0,0,0
9320,20000,25,12,138,6,0,30
9199,20000,2,10,24,0,0,2
9532,20000,46,31,160,18,6,108
9038,20000,10,39,103,16,0,45
9707,20000,146,140,523,40,0,16
9543,20000,26,14,70,2,0,0
9744,20000,87,98,503,682,0,21
8720,20000,2,6,9,0,0,0
137904,20000,104,82,555,29,0,14
9507,20000,32,34,132,6,0,31
9352,20000,12,54,57,14,0,36
8464,30000,343,332,731,117,24,76
136194,30000,359,338,801,121,24,78
9641,20000,20,63,132,2,0,0
138339,20000,218,279,586,704,0,28
9879,20000,42,32,268,32,2,10
9379,20000,6,0,38,4,0,0
9856,20000,2,4,14,0,0,12
9645,20000,0,4,0,0,0,0
134718,20000,0,4,0,0,0,0
9402,30000,62,64,158,86,0,115
8823,30000,90,121,164,27,0,48
136167,20000,0,0,0,0,0,0
8602,20000,24,28,46,4,0,2
9125,20000,28,49,130,0,0,0
9136,20000,20,25,182,0,6,4
9300,20000,23,15,42,2,0,3
9814,20000,33,100,222,30,6,76
9085,20000,14,6,78,10,0,4
9177,20000,14,6,62,0,0,5
9071,30000,39,65,136,2,4,27
9065,20000,2,2,28,0,0,0
8869,20000,72,32,84,4,0,12
9604,20000,8,12,28,4,0,14
8242,50000,38,80,282,14,0,46
137109,20000,39,60,164,35,0,133
135159,50000,32,139,691,43,0,30
8912,20000,2,9,2,0,0,4
8256,20000,87,158,693,30,0,7
