countryCode,type,cityName,cityId,regionName,population,regionCode,lat,lon,elevation,timezone
BD,CITY,Khulna,133486,Khulna District,1342339,27,22.5,89.33333,,Asia__Dhaka
BD,CITY,Kushtia,133463,Khulna District,135724,27,23.83333,88.91667,,Asia__Dhaka
BD,CITY,Mymensingh,133470,Mymensingh District,258040,34,24.75,90.4,,Asia__Dhaka
BD,CITY,Narayanganj,133494,Dhaka District,223622,13,23.75,90.58333,,Asia__Dhaka
BD,CITY,Narsingdi,6790,Dhaka District,281080,13,23.92298,90.71768,,Asia__Dhaka
BD,CITY,Natore,133501,Rajshahi District,369138,54,24.35,89.08333,,Asia__Dhaka
BD,CITY,Nawābganj,6103,Rajshahi District,142361,54,24.59025,88.27444,,Asia__Dhaka
BD,CITY,Nārāyanganj,6776,Dhaka District,223622,13,23.61352,90.50298000000001,3.0,Asia__Dhaka
BD,CITY,Pabna,133500,Rajshahi District,186781,54,24.00633,89.33533,,Asia__Dhaka
BD,CITY,Puthia,6282,Rajshahi District,159406,54,24.365370000000002,88.83431,,Asia__Dhaka
BD,CITY,Pābna,6836,Rajshahi District,186781,54,24.006439999999998,89.2372,16.0,Asia__Dhaka
BD,CITY,Pār Naogaon,6752,Rajshahi District,192464,54,24.80418,88.94875,,Asia__Dhaka
BD,CITY,Rajshahi,133465,Rajshahi District,700133,54,24.36962,88.60748000000001,,Asia__Dhaka
BD,CITY,Rangpur,133505,Rangpur District,343122,55,25.73333,89.25,,Asia__Dhaka
BD,CITY,Rājshāhi,6846,Rajshahi District,700133,54,24.374000000000002,88.60114,18.0,Asia__Dhaka
BD,CITY,Saidpur,6190,Rajshahi District,199422,54,25.77769,88.89169,,Asia__Dhaka
BD,CITY,Satkhira,133487,Khulna District,128918,27,22.35,89.15,,Asia__Dhaka
BD,CITY,Sherpur,133492,Mymensingh District,107419,34,25.08333,90.08333,,Asia__Dhaka
BD,CITY,Shibganj,6827,Rajshahi District,378701,54,25.00146,89.32266,,Asia__Dhaka
BD,CITY,Shāhzādpur,6199,Rajshahi District,102420,54,24.17687,89.5988,,Asia__Dhaka
BD,CITY,Sirajganj,133524,Rajshahi District,127481,54,24.33333,89.61667,,Asia__Dhaka
BD,CITY,Sonārgaon,6095,Dhaka District,130000,13,23.65,90.61667,,Asia__Dhaka
BD,CITY,Sylhet,133472,Sylhet District,479837,60,24.91667,91.76666999999999,,Asia__Dhaka
BD,CITY,Sātkhira,6693,Khulna District,128918,27,22.708170000000003,89.07185,,Asia__Dhaka
BD,CITY,Tangail,133466,Dhaka District,180144,13,24.33853,89.98666999999999,,Asia__Dhaka
BD,CITY,Tungi,6606,Dhaka District,337579,13,23.89154,90.40231999999999,,Asia__Dhaka
BD,CITY,Tāngāil,6133,Dhaka District,180144,13,24.24984,89.91655,14.0,Asia__Dhaka
BE,CITY,Alken,7296,Flanders,114999,VLG,50.87553,5.30558,,Europe__Brussels
BE,CITY,Antwerpen,7584,Flanders,523248,VLG,51.22047,4.40026,7.0,Europe__Brussels
BE,CITY,Brugge,6971,Flanders,118053,VLG,51.20892,3.22424,2.0,Europe__Brussels
BE,CITY,Brussels,7918,Brussels-Capital Region,1019022,BRU,50.85045,4.3487800000000005,70.0,Europe__Brussels
BE,CITY,Charleroi,7213,Wallonia,203744,WAL,50.411359999999995,4.44448,,Europe__Brussels
BE,CITY,Gent,7479,Flanders,262219,VLG,51.05,3.7166699999999997,4.0,Europe__Brussels
BE,CITY,Leuven,6766,Flanders,100291,VLG,50.87959,4.7009300000000005,,Europe__Brussels
BE,CITY,Liège,6407,Wallonia,197885,WAL,50.63373,5.56749,,Europe__Brussels
BE,CITY,Namur,6470,Wallonia,110939,WAL,50.4669,4.8674599999999995,,Europe__Brussels
BG,CITY,Burgas,7148,Burgas Province,206371,02,42.50606,27.467809999999997,30.0,Europe__Sofia
BG,CITY,Pleven,6989,Pleven Province,118675,15,43.41667,24.616670000000003,116.0,Europe__Sofia
BG,CITY,Plovdiv,7915,Plovdiv Province,340494,16,42.15,24.75,164.0,Europe__Sofia
BG,CITY,Ruse,7466,Ruse Province,156238,18,43.84872,25.9534,45.0,Europe__Sofia
BG,CITY,Sofia,7448,Sofia City Province,1286383,22,42.69751,23.32415,595.0,Europe__Sofia
BG,CITY,Stara Zagora,7088,Stara Zagora Province,143431,24,42.43278,25.641939999999998,196.0,Europe__Sofia
BG,CITY,Varna,6959,Varna Province,510344,03,43.21667,27.91667,80.0,Europe__Sofia
BH,CITY,Ar Rifā‘,7322,Southern Governorate,121566,14,26.13,50.555,43.0,Asia__Bahrain
BH,CITY,Manama,7342,Capital Governorate,157474,13,26.227870000000003,50.58565,,Asia__Bahrain
BO,CITY,Cochabamba,7686,Cochabamba Department,632013,C,-17.3895,-66.1568,,America__La_Paz
BO,CITY,La Paz,7555,La Paz Department,812799,L,-16.5,-68.15,3600.0,America__La_Paz
BO,CITY,Montero,7039,Santa Cruz Department,112837,S,-17.33866,-63.2505,298.0,America__La_Paz
BO,CITY,Oruro,7538,Oruro Department,264683,O,-17.98333,-67.15,3710.0,America__La_Paz
BO,CITY,Potosí,7726,Potosí Department,189652,P,-19.58361,-65.75305999999999,4070.0,America__La_Paz
BO,CITY,Quillacollo,7698,Cochabamba Department,137182,C,-17.39228,-66.27838,2425.0,America__La_Paz
BO,CITY,Sacaba,7558,Cochabamba Department,172466,C,-17.39799,-66.03825,2719.0,America__La_Paz
BO,CITY,Santa Cruz de la Sierra,7032,Santa Cruz Department,1441406,S,-17.78629,-63.181169999999995,416.0,America__La_Paz
BO,CITY,Sucre,7666,Chuquisaca Department,300000,H,-19.03332,-65.26274000000001,2810.0,America__La_Paz
BO,CITY,Tarija,7066,Tarija Department,179528,T,-21.53549,-64.72955999999999,1957.0,America__La_Paz
BO,CITY,Trinidad,7476,Beni Department,101454,B,-14.833329999999998,-64.9,130.0,America__La_Paz
BR,CITY,Abaetetuba,8893,Pará,151934,PA,-1.71806,-48.8825,42.0,America__Belem
BR,CITY,Alagoinhas,134362,Bahia,154495,BA,-12.0058,-38.36146,,America__Bahia
BR,CITY,Almirante Tamandaré,9794,Paraná,103204,PR,-25.324720000000003,-49.31,950.0,America__Sao_Paulo
BR,CITY,Altamira,8151,Pará,109938,PA,-3.20333,-52.20639,109.0,America__Santarem
BR,CITY,Alvorada,138592,Rio Grande do Sul,195718,RS,-29.988970000000002,-51.03717,,America__Sao_Paulo
BR,CITY,Americana,134357,São Paulo,229322,SP,-22.71408,-47.29009,,America__Sao_Paulo
BR,CITY,Ananindeua,135033,Pará,510834,PA,-1.3461100000000001,-48.382870000000004,,America__Belem
BR,CITY,Angra dos Reis,9388,Rio de Janeiro,188276,RJ,-23.00667,-44.318059999999996,1378.0,America__Sao_Paulo
BR,CITY,Anápolis,9034,Goiás,366491,GO,-16.32667,-48.95278,1017.0,America__Sao_Paulo
BR,CITY,Aparecida de Goiânia,9377,Goiás,510770,GO,-16.82333,-49.24389,808.0,America__Sao_Paulo
BR,CITY,Apucarana,137645,Paraná,120919,PR,-23.56159,-51.45358,,America__Sao_Paulo
BR,CITY,Aracaju,136088,Sergipe,632744,SE,-10.98232,-37.10333,,America__Maceio
BR,CITY,Araguari,9393,Minas Gerais,116871,MG,-18.64722,-48.18722,1013.0,America__Sao_Paulo
BR,CITY,Araguaína,134985,Tocantins,150520,TO,-7.311389999999999,-48.62113,,America__Araguaina
BR,CITY,Arapiraca,134283,Alagoas,234185,AL,-9.7438,-36.59315,,America__Maceio
