cityId,searchRadius,culture_hIndex,culture_cIndex,culture_rIndex,culture_aIndex,culture_iIndex,culture_nIndex
56189,20000,2,17,50,0,0,0
56240,20000,0,0,22,0,0,0
147585,20000,0,0,0,0,0,0
56031,20000,0,0,1,6,0,0
55830,20000,19,17,71,6,0,0
55778,50000,271,391,968,127,72,248
147784,20000,0,0,52,0,0,6
56319,20000,1,12,262,0,0,6
56027,50000,0,21,43,0,0,0
147571,20000,7,2,9,36,0,0
55962,30000,1041,440,1004,281,12,18
147569,20000,2,30,30,0,0,0
56689,20000,4,0,2,0,0,0
147810,50000,6,7,15,6,0,3
147921,20000,0,0,0,0,0,0
147559,20000,0,2,13,0,0,0
55662,20000,0,0,3,0,0,0
55372,20000,18,10,53,9,0,0
54948,20000,14,13,71,0,0,0
55317,20000,83,176,269,71,0,10
55342,20000,0,0,0,0,0,0
55114,20000,6,0,1,0,0,0
147545,20000,2,4,23,0,0,10
147544,30000,32,35,203,2,0,4
55057,30000,32,35,203,2,0,4
56557,50000,154,344,533,75,0,10
54364,20000,42,58,234,19,0,31
55225,20000,0,0,3,0,0,13
147749,20000,0,0,16,0,0,0
147552,50000,21,10,26,6,0,3
147555,20000,7,11,109,0,0,33
147547,20000,0,1,17,0,0,0
55760,20000,2,6,58,15,0,9
57105,20000,0,0,6,0,0,0
55767,20000,12,18,100,0,0,4
55437,20000,0,0,344,2,0,4
147553,20000,2,0,2,0,0,3
147551,30000,9,16,24,60,0,0
147803,50000,18,6,26,8,0,0
55777,20000,1,2,33,0,0,7
55900,20000,116,266,355,69,0,10
55874,20000,19,19,64,12,0,0
147565,50000,0,21,41,0,0,0
56490,20000,2,2,83,4,0,27
54947,20000,268,409,922,28,4,15
54889,20000,0,0,5,0,0,0
56930,20000,259,331,859,28,4,15
147542,20000,0,0,0,0,0,0
147773,20000,0,0,8,0,0,0
147955,20000,6,0,27,0,0,3
147754,20000,0,0,6,0,0,0
54843,20000,371,208,468,84,0,3
54910,50000,39,102,77,29,0,0
147535,50000,76,76,558,34,0,0
54887,50000,63,78,494,33,0,0
55618,20000,20,0,4,0,0,4
55367,20000,0,0,10,0,0,6
55468,20000,88,169,239,65,0,10
147541,50000,15,53,241,0,0,14
147526,20000,0,0,29,0,0,0
147527,30000,12,0,3,6,0,4
147531,20000,17,18,121,6,0,0
57555,20000,272,400,930,28,4,15
147532,20000,0,0,0,0,0,0
55674,20000,2,15,24,0,0,6
55328,30000,18,37,312,4,2,3
147515,20000,2,5,157,0,0,0
147813,20000,0,2,3,0,0,0
