cityId,searchRadius,population,hCountLevel0,hCountLevel1,hCountLevel2,hCountLevel3,hCountLevel7,cCountLevel0,cCountLevel1,cCountLevel2,cCountLevel3,cCountLevel7,rCountLevel0,rCountLevel1,rCountLevel2,rCountLevel3,rCountLevel7,aCountLevel0,aCountLevel1,aCountLevel2,aCountLevel3,aCountLevel7,iCountLevel0,iCountLevel1,iCountLevel2,iCountLevel3,iCountLevel7,nCountLevel0,nCountLevel1,nCountLevel2,nCountLevel3,nCountLevel7
50260,20000,117504,15,1,0,0,0,2,0,0,0,0,10,45,0,0,0,3,1,0,0,0,0,0,0,0,0,22,22,6,0,0
51643,50000,1752286,47,367,26,43,7,89,271,30,77,3,39,277,21,108,11,173,121,16,70,59,2,2,0,2,0,95,95,23,70,6
51392,20000,130560,46,349,28,45,8,82,277,23,82,5,38,241,21,106,14,99,51,10,61,56,1,1,0,2,0,53,53,17,52,5
51316,20000,100071,37,373,23,40,5,80,294,24,79,5,34,225,21,110,14,92,51,12,57,54,0,1,0,1,0,31,31,15,48,5
50972,20000,148517,44,381,26,33,6,90,286,30,67,3,36,250,22,100,11,103,56,8,60,55,1,1,0,1,0,60,60,19,42,6
50865,20000,121657,43,355,27,44,7,90,274,33,82,4,41,251,21,106,11,95,49,10,58,56,1,1,0,1,0,43,43,17,48,5
51496,20000,102216,56,392,23,23,3,79,309,37,55,2,29,208,19,80,8,53,31,7,40,14,0,0,0,1,0,9,9,5,11,1
51166,20000,204124,3,56,0,0,0,27,49,3,4,0,8,43,0,7,1,4,7,1,0,1,0,0,0,0,0,0,0,0,1,0
50831,20000,132034,29,81,3,3,0,6,62,2,5,0,6,65,0,6,1,5,3,5,4,0,0,0,0,0,0,3,3,2,0,1
51750,20000,110687,37,47,1,1,0,9,54,5,4,0,1,20,0,7,0,15,4,0,0,1,0,0,0,0,0,0,0,0,1,0
51059,20000,172637,57,98,0,2,3,47,43,1,7,1,11,72,1,19,2,4,13,1,1,0,0,0,0,0,0,13,13,12,12,1
50789,20000,116799,28,37,0,0,0,18,73,0,2,0,10,53,0,2,1,1,5,1,0,0,0,0,0,0,0,1,1,0,0,0
51341,20000,156649,73,316,0,7,2,44,180,5,29,3,5,89,0,13,4,25,26,1,6,1,9,3,0,0,2,22,22,2,9,0
49862,20000,164883,39,262,5,3,1,47,95,3,5,3,1,43,0,8,0,7,5,1,6,3,0,0,0,0,1,10,10,1,0,1
51153,20000,101600,44,109,2,4,1,22,83,3,5,0,11,47,0,10,1,54,30,1,1,1,0,0,0,0,0,2,2,1,2,2
51323,20000,130000,44,374,27,40,6,88,280,33,78,3,43,262,21,108,11,92,46,8,57,56,1,0,0,1,0,33,33,15,36,5
53585,20000,134188,2,3,0,0,0,0,0,0,0,0,14,28,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
52949,20000,372249,5,9,1,1,1,0,5,0,0,0,19,43,0,1,0,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0
52516,20000,105845,8,8,0,0,0,0,1,2,2,0,23,92,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
52404,20000,148047,0,11,1,0,0,0,1,2,2,0,32,298,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
51819,30000,598043,1,11,0,1,0,0,7,0,0,0,28,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51713,20000,250757,9,12,0,1,0,6,3,1,2,0,106,197,2,3,0,5,0,0,0,0,0,0,0,0,0,9,9,160,0,0
51439,50000,1166761,2,7,0,0,0,3,2,1,0,0,57,50,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0
52585,50000,2394873,25,61,0,3,0,19,67,9,3,0,88,407,0,3,0,1,2,0,1,0,0,4,1,5,0,0,0,8,7,0
52286,20000,182819,0,0,0,0,0,0,0,0,0,0,7,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
52746,20000,164952,18,35,0,2,0,8,58,7,3,0,83,290,1,3,0,1,2,0,1,0,0,1,0,1,0,0,0,3,2,0
52181,30000,572837,60,17,2,4,0,1,10,0,0,0,372,118,1,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
52953,50000,1164352,45,126,8,23,2,209,193,27,56,4,77,423,0,0,0,13,29,5,61,20,0,0,1,2,2,145,145,3,5,0
52501,20000,115537,0,5,0,0,0,0,0,2,0,0,13,43,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
52760,20000,190184,6,28,0,1,0,2,14,2,1,0,86,364,1,0,0,0,0,0,0,0,0,1,0,0,0,2,2,6,4,0
52523,50000,2381053,316,164,6,11,0,41,125,10,31,1,94,406,0,0,0,40,8,4,6,0,1,3,4,6,0,14,14,4,0,0
51560,20000,102707,17,3,0,0,0,0,2,0,0,0,93,45,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52064,20000,360495,20,11,0,1,0,2,5,0,1,0,30,56,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
52196,20000,136492,17,42,0,0,0,2,5,0,0,0,243,257,0,0,0,0,2,0,0,0,0,0,0,0,0,2,2,1,0,0
50904,20000,269053,50,6,0,0,0,1,2,0,0,0,314,45,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
52663,20000,132416,14,11,0,1,0,2,3,0,0,0,20,28,1,2,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0
52337,50000,1030720,333,155,2,7,0,39,117,8,27,1,132,366,1,1,0,25,3,4,6,0,0,2,3,3,0,19,19,10,5,0
52012,20000,161413,0,2,0,0,0,1,1,0,0,0,32,95,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
52441,20000,113326,1,2,0,2,0,3,4,0,0,0,23,32,1,1,0,0,1,0,0,1,0,0,0,0,1,2,2,0,4,0
52376,20000,207212,124,24,0,0,0,9,18,0,2,1,144,353,1,2,0,23,1,0,1,0,0,0,0,0,0,0,0,1,2,0
52685,20000,145620,1,1,0,0,0,0,0,0,0,0,4,12,1,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0
53674,20000,174041,98,18,0,0,0,0,5,0,0,0,201,287,0,0,0,1,1,0,0,0,0,2,1,0,0,0,0,0,0,0
52414,20000,202190,114,63,1,1,0,3,45,0,7,0,118,382,0,0,0,0,1,0,0,0,0,0,0,1,0,2,2,0,0,0
51969,20000,111476,20,37,0,1,0,18,60,9,3,0,75,279,1,3,0,1,1,0,1,0,0,2,0,3,0,0,0,1,3,0
52628,20000,493698,21,44,0,2,0,17,62,9,3,0,82,413,0,3,0,1,2,0,1,0,0,0,0,1,0,0,0,6,3,0
51951,20000,207858,220,111,6,8,0,27,63,10,24,0,52,447,1,0,0,17,6,4,5,0,1,3,3,2,0,2,2,0,0,0
52025,20000,316126,0,9,1,0,0,0,1,2,2,0,22,207,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
51905,20000,110155,210,45,0,0,0,10,31,0,2,1,181,319,0,0,0,23,1,0,1,0,0,0,0,0,0,1,1,2,0,0
52840,30000,700000,1,11,0,1,0,0,7,0,0,0,28,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
51913,20000,191406,113,24,0,0,0,0,6,0,0,0,185,315,0,0,0,2,2,0,0,0,0,2,1,0,0,0,0,0,0,0
52480,30000,834881,20,63,2,4,0,20,95,7,7,0,121,267,3,11,3,2,6,1,1,0,0,0,0,0,0,26,26,5,1,0
52315,20000,104527,139,142,12,13,1,6,77,6,8,0,79,391,9,9,1,14,11,5,4,0,0,0,0,0,0,4,4,2,0,0
